index,image,speed
0,0.jpg,0.5503601569131487
1,1.jpg,0.8380975261448462
2,2.jpg,0.5786831147446136
3,3.jpg,0.8893326000613175
4,4.jpg,0.588428227310736
5,5.jpg,0.6132938438469644
6,6.jpg,0.829150979188201
7,7.jpg,0.7579256437298127
8,8.jpg,0.8456428516699095
9,9.jpg,0.7061494856386972
10,10.jpg,0.5408296122093859
11,11.jpg,0.5371856901642698
12,12.jpg,0.5620736963904829
13,13.jpg,0.7154794560363413
14,14.jpg,0.8264810086574492
15,15.jpg,0.640834095432691
16,16.jpg,0.6219474590263001
17,17.jpg,0.6888711752962546
18,18.jpg,0.9189355018369447
19,19.jpg,0.8027498030804789
20,20.jpg,0.5990997133000029
21,21.jpg,0.7233223778574587
22,22.jpg,0.5829558139168167
23,23.jpg,0.7668647274564631
24,24.jpg,0.763450299733698
25,25.jpg,1.0400226768927023
26,26.jpg,0.6423743195229328
27,27.jpg,0.5588178623051139
28,28.jpg,0.7719042735106658
29,29.jpg,0.6847057600552304
30,30.jpg,0.4950762807243283
31,31.jpg,0.46220261840334054
32,32.jpg,0.4551666583254459
33,33.jpg,0.6362675315794295
34,34.jpg,0.6680842139523584
35,35.jpg,0.631028344122857
36,36.jpg,0.6426756474339861
37,37.jpg,0.7943070241485053
38,38.jpg,0.5485633842918247
39,39.jpg,0.5609038350887481
40,40.jpg,0.24026295061608316
41,41.jpg,0.23178752005287961
42,42.jpg,0.28748094098768284
43,43.jpg,0.23785419313515987
44,44.jpg,0.2954535364299655
45,45.jpg,0.3092679751509255
46,46.jpg,0.3070066164624041
47,47.jpg,0.3836054775172766
48,48.jpg,0.3462967907716923
49,49.jpg,0.3158878601565931
50,50.jpg,0.3207706783808977
51,51.jpg,0.32352740896034327
52,52.jpg,0.3418589676358472
53,53.jpg,0.35621915505019963
54,54.jpg,0.3323340203545797
55,55.jpg,0.32943735421272535
56,56.jpg,0.3285949421270278
57,57.jpg,0.3315345218413537
58,58.jpg,0.2903095051558324
59,59.jpg,0.27966600627904725
60,60.jpg,0.2567361650228026
61,61.jpg,0.2575011460973027
62,62.jpg,0.42207469652710117
63,63.jpg,0.4202769910020283
64,64.jpg,0.3368520732128726
65,65.jpg,0.4013026616431947
66,66.jpg,0.3076036748620137
67,67.jpg,0.32928808961282385
68,68.jpg,0.32870409186570626
69,69.jpg,0.3753567425651756
70,70.jpg,0.44186904828164764
71,71.jpg,0.39356142633076097
72,72.jpg,0.4073012327517702
73,73.jpg,0.5030311509953727
